RegionName,RegionNo
Idaho (West),0.0
Tennessee (South),1.0
Iowa (Midwest),2.0
Vermont (Northeast),3.0
Indiana (Midwest),4.0
Ohio (Midwest),5.0
"Illinois, Excl. Metro Chicago (Midwest)",6.0
Massachusetts (Northeast),7.0
West Virginia (South),8.0
"Texas, Ship Channel (South)",9.0
Montana (West),10.0
"Texas, Metro Houston (South)",11.0
Louisiana (South),12.0
Georgia (South),13.0
Alaska (West),14.0
California (West),15.0
"New Jersey, Excl. Metro NY (Northeast)",16.0
Missouri (Midwest),17.0
Maine (Northeast),18.0
New Mexico (West),19.0
"Connecticut, Excl. Metro NY (Northeast)",20.0
Oregon (West),21.0
Nebraska (Midwest),22.0
Wyoming (West),23.0
Colorado (West),24.0
North Dakota (Midwest),25.0
Alabama (South),26.0
South Dakota (Midwest),27.0
Arkansas (South),28.0
Northern California (West),29.0
Rhode Island (Northeast),30.0
Arizona (West),31.0
"New York, Excl. Metro NY (Northeast)",32.0
Washington (West),33.0
Nevada (West),34.0
Hawaii (West),35.0
Michigan (Midwest),36.0
Minnesota (Midwest),37.0
District of Columbia (South),38.0
North Carolina (South),39.0
Virginia (South),40.0
Delaware (Northeast),41.0
Chicago Metro Area (Midwest),42.0
Kansas (Midwest),43.0
"Texas, Metro Dallas (South)",44.0
Florida (South),45.0
Pennsylvania (Northeast),46.0
New Hampshire (Northeast),47.0
Oklahoma (South),48.0
South Carolina (South),49.0
Southern California (West),50.0
New York Metro Area (Northeast),51.0
Utah (West),52.0
Puerto Rico (Other),53.0
"Indiana, Excl. Metro Chicago (Midwest)",54.0
Kentucky (South),55.0
Maryland (South),56.0
Mississippi (South),57.0
"Texas, Excl. Metros (South)",58.0
"Wisconsin, Excl. Metro Chicago (Midwest)",59.0
Undefined,
Unclassified,
